Room1,Arvind,-92,JioFi3_5B57C3,-71,Apoorv,-55,DIRECT-ISDESKTOP-6MN9TPAmsIW,-53},,,,
Room1,realme 6 Pro,-92,Arvind,-95,JioFi3_5B57C3,-69,SATISHMAC,-92,DIRECT-ISDESKTOP-6MN9TPAmsIW,-51,Apoorv,-50}
Room1,JioFi3_5B57C3,-72,DIRECT-ISDESKTOP-6MN9TPAmsIW,-45,Apoorv,-49},,,,,,
Room1,JioFi3_5B57C3,-71,LAND,-90,DIRECT-ISDESKTOP-6MN9TPAmsIW,-50,Apoorv,-51},,,,
Room1,Arvind,-92,JioFi3_5B57C3,-69,SATISHMAC,-91,DIRECT-ISDESKTOP-6MN9TPAmsIW,-52,Apoorv,-53},,
Room1,Arvind,-90,JioFi3_5B57C3,-69,SATISHMAC,-90,DIRECT-ISDESKTOP-6MN9TPAmsIW,-51,Apoorv,-52},,
Room1,JioFi3_5B57C3,-69,SATISHMAC,-90,DIRECT-ISDESKTOP-6MN9TPAmsIW,-53,Apoorv,-50},,,,
Room1,realme 6 Pro,-94,JioFi3_5B57C3,-69,LAND,-89,DIRECT-ISDESKTOP-6MN9TPAmsIW,-51,Apoorv,-49},,
Room1,realme 6 Pro,-95,JioFi3_5B57C3,-71,LAND,-92,Apoorv,-51,DIRECT-ISDESKTOP-6MN9TPAmsIW,-51},,
Room1,realme 6 Pro,-92,Arvind,-90,JioFi3_5B57C3,-69,Apoorv,-47,DIRECT-ISDESKTOP-6MN9TPAmsIW,-45},,
Room1,Arvind,-93,realme 6 Pro,-90,JioFi3_5B57C3,-71,Apoorv,-50,DIRECT-ISDESKTOP-6MN9TPAmsIW,-51},,
Room1,JioFi3_5B57C3,-71,LAND,-88,Apoorv,-49,DIRECT-ISDESKTOP-6MN9TPAmsIW,-52},,,,
Room1,JioFi3_5B57C3,-71,realme 6 Pro,-90,Apoorv,-40,DIRECT-ISDESKTOP-6MN9TPAmsIW,-49},,,,
Room1,realme 6 Pro,-93,JioFi3_5B57C3,-71,DIRECT-ISDESKTOP-6MN9TPAmsIW,-53,Apoorv,-43},,,,
Room1,realme 6 Pro,-90,JioFi3_5B57C3,-69,DIRECT-ISDESKTOP-6MN9TPAmsIW,-42,Apoorv,-43},,,,
Room1,realme 6 Pro,-94,JioFi3_5B57C3,-70,LAND,-91,Apoorv,-35},,,,
Room1,realme 6 Pro,-87,JioFi3_5B57C3,-72,LAND,-91,DIRECT-ISDESKTOP-6MN9TPAmsIW,-47,Apoorv,-40},,
Room1,realme 6 Pro,-90,Arvind,-94,JioFi3_5B57C3,-71,Apoorv,-40,DIRECT-ISDESKTOP-6MN9TPAmsIW,-50},,
Room1,realme 6 Pro,-89,Arvind,-91,JioFi3_5B57C3,-70,Apoorv,-38},,,,
Room1,realme 6 Pro,-88,Arvind,-90,JioFi3_5B57C3,-68,Apoorv,-43,DIRECT-ISDESKTOP-6MN9TPAmsIW,-49},,
Room1,realme 6 Pro,-90,Arvind,-89,JioFi3_5B57C3,-70,LAND,-88,Apoorv,-45},,
Room1,realme 6 Pro,-93,JioFi3_5B57C3,-68,Apoorv,-44,DIRECT-ISDESKTOP-6MN9TPAmsIW,-49},,,,
Room1,realme 6 Pro,-89,Arvind,-89,JioFi3_5B57C3,-68,SATISHMAC,-90,Apoorv,-47,DIRECT-ISDESKTOP-6MN9TPAmsIW,-48}
Room1,realme 6 Pro,-86,Arvind,-92,JioFi3_5B57C3,-70,DIRECT-ISDESKTOP-6MN9TPAmsIW,-41,Apoorv,-47},,
Room1,realme 6 Pro,-92,JioFi3_5B57C3,-69,LAND,-90,Apoorv,-43,DIRECT-ISDESKTOP-6MN9TPAmsIW,-41},,
Room1,JioFi3_5B57C3,-76,LAND,-87,realme 6 Pro,-92,DIRECT-ISDESKTOP-6MN9TPAmsIW,-42,Apoorv,-41},,
Room1,realme 6 Pro,-91,JioFi3_5B57C3,-70,Apoorv,-40,DIRECT-ISDESKTOP-6MN9TPAmsIW,-43},,,,
Room1,realme 6 Pro,-93,JioFi3_5B57C3,-69,DIRECT-ISDESKTOP-6MN9TPAmsIW,-42,Apoorv,-41},,,,
Room1,realme 6 Pro,-94,JioFi3_5B57C3,-71,LAND,-88,DIRECT-ISDESKTOP-6MN9TPAmsIW,-42,Apoorv,-41},,
Room1,JioFi3_5B57C3,-71,LAND,-89,realme 6 Pro,-92,DIRECT-ISDESKTOP-6MN9TPAmsIW,-42,Apoorv,-47},,
Room1,realme 6 Pro,-87,JioFi3_5B57C3,-71,LAND,-90,DIRECT-ISDESKTOP-6MN9TPAmsIW,-40,Apoorv,-56},,
Room1,realme 6 Pro,-88,Arvind,-93,JioFi3_5B57C3,-71,Apoorv,-50,DIRECT-ISDESKTOP-6MN9TPAmsIW,-39},,
Room1,realme 6 Pro,-88,Arvind,-91,JioFi3_5B57C3,-73,Apoorv,-67,DIRECT-ISDESKTOP-6MN9TPAmsIW,-42},,
Room1,realme 6 Pro,-88,JioFi3_5B57C3,-72,LAND,-88,Apoorv,-56,DIRECT-ISDESKTOP-6MN9TPAmsIW,-41},,
Room1,JioFi3_5B57C3,-71,realme 6 Pro,-91,Apoorv,-40,DIRECT-ISDESKTOP-6MN9TPAmsIW,-51},,,,
Room1,realme 6 Pro,-89,Arvind,-87,JioFi3_5B57C3,-72,Apoorv,-42,DIRECT-ISDESKTOP-6MN9TPAmsIW,-52},,
Room1,realme 6 Pro,-92,Arvind,-91,JioFi3_5B57C3,-72,DIRECT-ISDESKTOP-6MN9TPAmsIW,-51,Apoorv,-41},,
Room1,realme 6 Pro,-90,JioFi3_5B57C3,-72,Apoorv,-43,DIRECT-ISDESKTOP-6MN9TPAmsIW,-52},,,,
Room1,realme 6 Pro,-93,JioFi3_5B57C3,-69,LAND,-90,Apoorv,-43,DIRECT-ISDESKTOP-6MN9TPAmsIW,-51},,
Room1,realme 6 Pro,-92,JioFi3_5B57C3,-69,SATISHMAC,-89,Apoorv,-42,DIRECT-ISDESKTOP-6MN9TPAmsIW,-51},,
Room1,realme 6 Pro,-90,Arvind,-93,JioFi3_5B57C3,-71,Apoorv,-43,DIRECT-ISDESKTOP-6MN9TPAmsIW,-51},,
Room1,realme 6 Pro,-94,Arvind,-94,JioFi3_5B57C3,-71,LAND,-89,Apoorv,-45,DIRECT-ISDESKTOP-6MN9TPAmsIW,-51}
Room1,realme 6 Pro,-90,JioFi3_5B57C3,-75,LAND,-90,Apoorv,-42,DIRECT-ISDESKTOP-6MN9TPAmsIW,-52},,
Room1,realme 6 Pro,-92,Arvind,-89,JioFi3_5B57C3,-69,LAND,-91,Apoorv,-44,DIRECT-ISDESKTOP-6MN9TPAmsIW,-51}
Room1,realme 6 Pro,-92,Arvind,-90,JioFi3_5B57C3,-71,Apoorv,-46,DIRECT-ISDESKTOP-6MN9TPAmsIW,-52},,
Room1,realme 6 Pro,-91,Arvind,-89,JioFi3_5B57C3,-70,Apoorv,-45,DIRECT-ISDESKTOP-6MN9TPAmsIW,-52},,
Room1,realme 6 Pro,-91,JioFi3_5B57C3,-71,LAND,-89,Apoorv,-48,DIRECT-ISDESKTOP-6MN9TPAmsIW,-51},,
Room1,realme 6 Pro,-92,Arvind,-88,JioFi3_5B57C3,-69,LAND,-92,Apoorv,-50,DIRECT-ISDESKTOP-6MN9TPAmsIW,-52}
Room1,realme 6 Pro,-93,Arvind,-90,JioFi3_5B57C3,-69,SATISHMAC,-92,Apoorv,-51,DIRECT-ISDESKTOP-6MN9TPAmsIW,-51}
Room1,realme 6 Pro,-90,Arvind,-89,JioFi3_5B57C3,-70,Apoorv,-47,DIRECT-ISDESKTOP-6MN9TPAmsIW,-52},,
Room1,realme 6 Pro,-91,JioFi3_5B57C3,-70,LAND,-88,Apoorv,-48,DIRECT-ISDESKTOP-6MN9TPAmsIW,-48},,
