Chamidi1,NipunaM6,IsuruAp6,UoM_Wireless11,UNIC-wifi11
-74,-65,-59,-91,-84
-72,-64,-52,-90,-87
-73,-58,-57,-91,-89
-70,-64,-56,-91,-85
-71,-62,-52,-90,-88
-77,-64,-55,-89,-91
-77,-58,-54,-91,-89
-71,-64,-52,-90,-91
-72,-64,-55,-90,-85
-76,-57,-54,-94,-88
-70,-64,-53,-92,-88
-74,-64,-52,-91,-89
-77,-65,-55,-89,-82
-79,-54,-64,-90,-86
-77,-62,-55,-89,-90
-72,-66,-55,-89,-85
-80,-54,-58,-88,-87
-77,-62,-54,-91,-84
-75,-64,-55,-89,-85
-81,-55,-59,-89,-85
-70,-64,-53,-90,-87
-72,-58,-55,-94,-89
-77,-63,-61,-89,-85
-79,-57,-60,-95,-89
-85,-58,-48,-91,-88
-81,-58,-53,-94,-89
-70,-64,-52,-90,-86
-78,-63,-56,-91,-85
-83,-63,-55,-89,-85
-77,-64,-53,-89,-86
-73,-64,-54,-90,-89
-78,-63,-56,-88,-85
-71,-58,-51,-97,-89
-78,-57,-56,-91,-89
-75,-63,-53,-89,-85
-83,-65,-56,-86,-84
-85,-64,-51,-88,-85
-84,-59,-58,-89,-85
-77,-62,-48,-94,-90
-69,-64,-51,-89,-85
-75,-63,-57,-89,-85
-71,-58,-53,-91,-89
-76,-58,-55,-91,-86
-72,-64,-56,-90,-87
-79,-58,-51,-91,-85
-70,-64,-52,-90,-87
-78,-63,-58,-89,-85
-70,-64,-54,-90,-87
-72,-64,-52,-90,-87
-75,-64,-53,-86,-87
-74,-58,-53,-88,-85
-76,-64,-55,-88,-84
-78,-63,-55,-89,-85
-75,-52,-60,-89,-84
-81,-63,-64,-91,-85
-72,-46,-53,-88,-88
-76,-59,-59,-91,-89
-69,-57,-57,-90,-89
-75,-65,-55,-91,-84
-69,-64,-51,-90,-85
-76,-58,-47,-92,-85
-71,-56,-52,-89,-89
-84,-58,-53,-92,-89
-100,-63,-58,-90,-91
-70,-64,-55,-89,-85
-70,-64,-51,-91,-87
-74,-57,-53,-88,-84
-78,-58,-54,-89,-86
-76,-65,-58,-91,-84
-77,-68,-62,-90,-87
-81,-55,-58,-89,-85
-75,-65,-56,-89,-85
-80,-58,-53,-92,-89
-87,-63,-56,-89,-85
-82,-63,-59,-87,-85
-71,-55,-55,-88,-84
-75,-64,-56,-91,-84
-84,-54,-63,-90,-86
-78,-54,-59,-89,-85
-71,-64,-52,-95,-88
-72,-60,-54,-90,-89
-77,-54,-61,-89,-85
-72,-64,-55,-89,-86
-78,-63,-57,-89,-85
-100,-62,-56,-92,-85
-78,-57,-60,-89,-85
-80,-58,-55,-91,-89
-75,-64,-55,-88,-85
-80,-55,-58,-89,-85
-76,-60,-55,-95,-85
-84,-54,-61,-90,-85
-74,-63,-55,-93,-87
-80,-54,-59,-89,-85
-74,-64,-54,-90,-84
-78,-60,-54,-89,-87
-80,-63,-57,-89,-85
-77,-55,-60,-93,-85
-82,-63,-57,-89,-85
-74,-62,-55,-91,-89
-78,-56,-54,-91,-88
-83,-57,-61,-89,-85
-71,-63,-57,-89,-85
-81,-54,-59,-86,-86
-77,-62,-55,-90,-86
-73,-58,-55,-94,-87
-76,-64,-58,-91,-84
-70,-57,-57,-93,-89
-77,-63,-64,-91,-86
-72,-64,-53,-90,-89
-76,-64,-55,-91,-84
-77,-58,-49,-92,-89
-78,-60,-55,-95,-89
-81,-59,-58,-89,-89
-74,-64,-51,-89,-87
-72,-64,-54,-90,-91
-70,-64,-53,-90,-87
-79,-63,-60,-92,-85
-82,-63,-56,-91,-84
-73,-65,-57,-87,-85
-77,-59,-55,-89,-88
-75,-62,-55,-87,-83
-86,-57,-54,-91,-89
-78,-56,-61,-86,-85
-78,-63,-54,-90,-87
-73,-64,-52,-90,-90
-70,-64,-54,-90,-87
-89,-56,-52,-91,-87
-72,-64,-56,-91,-87
-71,-64,-55,-90,-87
-71,-64,-55,-90,-87
-74,-64,-52,-90,-87
-72,-64,-54,-90,-87
-81,-63,-57,-88,-85
-100,-61,-52,-92,-88
-76,-64,-57,-89,-85
-83,-63,-57,-90,-85
-86,-58,-51,-90,-88
-80,-62,-53,-91,-87
-80,-60,-56,-89,-85
-71,-64,-53,-90,-85
-74,-58,-56,-89,-85
-74,-65,-57,-89,-85
-79,-58,-49,-88,-89
-100,-56,-54,-87,-85
-78,-63,-64,-89,-85
-71,-64,-54,-94,-87
-76,-63,-53,-91,-85
-77,-58,-52,-89,-88
-71,-62,-62,-89,-85
-84,-54,-56,-89,-85
-80,-63,-57,-95,-85
-80,-57,-57,-92,-90
-77,-57,-59,-91,-89
-76,-58,-51,-90,-85
-79,-62,-57,-89,-85
-100,-63,-58,-89,-88
-79,-58,-51,-91,-89
-75,-64,-56,-91,-84
-72,-54,-61,-89,-87
-74,-63,-55,-88,-85
-73,-58,-55,-91,-87
-77,-61,-55,-89,-89
-78,-63,-58,-92,-85
-75,-62,-56,-87,-84
-73,-65,-66,-88,-86
-75,-61,-57,-91,-86
-82,-65,-58,-91,-89
-77,-64,-55,-88,-86
-77,-61,-53,-89,-85
-75,-68,-55,-89,-85
-71,-64,-54,-90,-85
-78,-63,-57,-89,-85
-77,-61,-55,-89,-85
-79,-63,-56,-90,-88
-70,-63,-100,-89,-87
-70,-64,-55,-91,-87
-81,-52,-55,-89,-83
-67,-64,-62,-89,-85
-70,-64,-53,-90,-87
-71,-63,-54,-89,-85
-73,-58,-54,-91,-88
-73,-64,-56,-90,-87
-73,-61,-56,-93,-85
-77,-60,-52,-89,-84
-73,-64,-54,-90,-87
-77,-62,-54,-89,-89
-72,-64,-57,-92,-88
-77,-58,-52,-90,-88
-70,-64,-52,-90,-87
-75,-58,-55,-89,-85
-74,-53,-55,-92,-90
-77,-62,-53,-89,-85
-77,-62,-54,-89,-85
-76,-63,-58,-88,-85
-74,-57,-54,-91,-90
-75,-57,-56,-90,-89
-74,-58,-54,-91,-89
-86,-58,-55,-91,-90
-82,-63,-56,-85,-85
-72,-64,-53,-89,-87
-72,-64,-54,-90,-87
-71,-63,-56,-89,-85
-78,-53,-60,-89,-87
-74,-58,-56,-91,-88
-82,-58,-55,-95,-86
-71,-64,-52,-90,-87
-73,-55,-54,-91,-86
-70,-64,-52,-92,-88
-73,-64,-56,-90,-87
-70,-60,-57,-91,-89
-71,-64,-56,-90,-89
-80,-63,-59,-87,-85
-80,-62,-54,-92,-85
-73,-57,-53,-91,-89
-80,-67,-56,-92,-89
-87,-58,-56,-91,-94
-74,-58,-58,-91,-90
-78,-54,-55,-90,-86
-78,-52,-59,-89,-85
-77,-64,-55,-89,-85
-72,-58,-56,-94,-89
-72,-56,-57,-91,-89
-79,-55,-66,-90,-86
-78,-63,-58,-89,-85
-74,-58,-60,-91,-90
-79,-54,-58,-89,-85
-77,-64,-54,-91,-85
-71,-64,-52,-90,-89
-76,-58,-57,-88,-84
-76,-54,-60,-89,-85
-76,-58,-58,-90,-89
-76,-58,-51,-87,-84
-77,-63,-58,-94,-85
-71,-56,-57,-91,-84
-70,-56,-56,-91,-88
-67,-60,-58,-90,-89
-77,-64,-56,-91,-85
-73,-58,-58,-92,-89
-73,-63,-54,-90,-87
-100,-64,-55,-91,-83
-78,-63,-59,-89,-85
-79,-62,-55,-89,-84
-81,-63,-58,-91,-85
-77,-54,-54,-89,-85
-75,-64,-53,-91,-84
-78,-65,-62,-90,-86
-81,-54,-60,-89,-85
-80,-63,-57,-91,-85
-85,-52,-60,-90,-86
-70,-64,-55,-90,-90
